SKU,location_code,warehouse,batch,available_units,expiry_date,reorder_level,last_updated
MED0012,LOC0004,WH-AP-004,B00124099,64,22-02-2028,100,06-08-2026 09:00
MED0029,LOC0004,WH-AP-004,B00294148,119,09-08-2026,50,06-08-2026 09:00
MED0015,LOC0005,WH-AP-005,B00150186,238,04-04-2027,30,06-08-2026 09:00
MED0013,LOC0005,WH-AP-005,B00130242,148,10-05-2028,20,06-08-2026 09:00
MED0031,LOC0005,WH-AP-005,B00310340,2105,29-08-2026,30,06-08-2026 09:00
MED0069,LOC0005,WH-AP-005,B00690463,178,13-03-2027,100,06-08-2026 09:00
MED0018,LOC0005,WH-AP-005,B00180556,2260,08-01-2029,100,06-08-2026 09:00
MED0050,LOC0005,WH-AP-005,B00500615,462,25-07-2028,100,06-08-2026 09:00
MED0059,LOC0005,WH-AP-005,B00590771,658,05-01-2027,100,06-08-2026 09:00
MED0048,LOC0005,WH-AP-005,B00480819,110,01-02-2028,75,06-08-2026 09:00
MED0086,LOC0005,WH-AP-005,B00860989,151,24-08-2026,20,06-08-2026 09:00
MED0096,LOC0005,WH-AP-005,B00961077,332,07-07-2028,100,06-08-2026 09:00
MED0090,LOC0005,WH-AP-005,B00901124,619,22-10-2028,50,06-08-2026 09:00
MED0070,LOC0005,WH-AP-005,B00701262,220,25-06-2027,100,06-08-2026 09:00
MED0054,LOC0005,WH-AP-005,B00541350,408,09-02-2027,50,06-08-2026 09:00
MED0076,LOC0005,WH-AP-005,B00761497,261,09-04-2027,75,06-08-2026 09:00
MED0105,LOC0005,WH-AP-005,B01051557,2349,13-08-2026,75,06-08-2026 09:00
MED0094,LOC0005,WH-AP-005,B00941652,600,01-06-2028,30,06-08-2026 09:00
MED0020,LOC0005,WH-AP-005,B00201716,681,11-01-2028,20,06-08-2026 09:00
MED0102,LOC0005,WH-AP-005,B01021837,360,08-09-2026,50,06-08-2026 09:00
MED0084,LOC0005,WH-AP-005,B00841981,229,28-10-2027,30,06-08-2026 09:00
MED0113,LOC0005,WH-AP-005,B01132081,3141,17-01-2028,50,06-08-2026 09:00
MED0063,LOC0005,WH-AP-005,B00632194,658,19-07-2028,100,06-08-2026 09:00
MED0079,LOC0005,WH-AP-005,B00792249,0,23-12-2028,50,06-08-2026 09:00
MED0053,LOC0005,WH-AP-005,B00532394,185,05-06-2028,50,06-08-2026 09:00
MED0036,LOC0005,WH-AP-005,B00362477,4593,05-02-2027,75,06-08-2026 09:00
MED0005,LOC0005,WH-AP-005,B00052549,464,17-11-2027,30,06-08-2026 09:00
MED0089,LOC0005,WH-AP-005,B00892629,581,27-12-2026,50,06-08-2026 09:00
MED0107,LOC0005,WH-AP-005,B01072766,50,09-08-2027,30,06-08-2026 09:00
MED0028,LOC0005,WH-AP-005,B00282875,452,12-06-2027,75,06-08-2026 09:00
MED0057,LOC0005,WH-AP-005,B00572985,113,28-09-2028,20,06-08-2026 09:00
MED0106,LOC0005,WH-AP-005,B01063086,315,26-04-2026,75,06-08-2026 09:00
MED0112,LOC0005,WH-AP-005,B01123127,0,08-06-2027,20,06-08-2026 09:00
MED0047,LOC0005,WH-AP-005,B00473232,122,17-04-2026,50,06-08-2026 09:00
MED0095,LOC0005,WH-AP-005,B00953395,720,29-05-2028,30,06-08-2026 09:00
MED0088,LOC0005,WH-AP-005,B00883419,2173,17-02-2028,50,06-08-2026 09:00
MED0103,LOC0005,WH-AP-005,B01033563,587,20-08-2028,50,06-08-2026 09:00
MED0046,LOC0005,WH-AP-005,B00463689,2085,28-04-2027,50,06-08-2026 09:00
MED0008,LOC0005,WH-AP-005,B00083723,370,30-09-2026,75,06-08-2026 09:00
MED0051,LOC0005,WH-AP-005,B00513849,410,14-12-2027,30,06-08-2026 09:00
MED0091,LOC0005,WH-AP-005,B00913991,797,09-04-2028,50,06-08-2026 09:00
MED0025,LOC0005,WH-AP-005,B00254054,198,27-10-2027,20,06-08-2026 09:00
MED0016,LOC0005,WH-AP-005,B00164187,149,30-04-2027,30,06-08-2026 09:00
MED0108,LOC0005,WH-AP-005,B01084290,671,25-09-2026,30,06-08-2026 09:00
MED0012,LOC0005,WH-AP-005,B00124397,577,06-02-2028,75,06-08-2026 09:00
MED0087,LOC0005,WH-AP-005,B00874450,639,07-08-2028,100,06-08-2026 09:00
MED0003,LOC0005,WH-AP-005,B00034545,480,10-09-2027,30,06-08-2026 09:00
MED0007,LOC0005,WH-AP-005,B00074669,0,17-09-2027,100,06-08-2026 09:00
MED0043,LOC0005,WH-AP-005,B00434719,0,24-08-2027,75,06-08-2026 09:00
MED0032,LOC0005,WH-AP-005,B00324880,519,20-06-2028,20,06-08-2026 09:00
MED0017,LOC0005,WH-AP-005,B00174987,585,29-09-2027,20,06-08-2026 09:00
MED0027,LOC0005,WH-AP-005,B00275020,63,21-10-2027,75,06-08-2026 09:00
MED0009,LOC0005,WH-AP-005,B00095166,40,26-01-2028,100,06-08-2026 09:00
MED0097,LOC0005,WH-AP-005,B00975259,162,20-08-2027,100,06-08-2026 09:00
MED0049,LOC0005,WH-AP-005,B00495390,695,20-01-2029,75,06-08-2026 09:00
MED0101,LOC0005,WH-AP-005,B01015446,2387,04-12-2027,50,06-08-2026 09:00
MED0014,LOC0005,WH-AP-005,B00145529,672,13-07-2028,50,06-08-2026 09:00
MED0038,LOC0005,WH-AP-005,B00385649,4718,29-08-2026,50,06-08-2026 09:00
MED0017,LOC0006,WH-AP-006,B00170146,243,21-07-2028,50,06-08-2026 09:00
MED0077,LOC0006,WH-AP-006,B00770270,244,15-01-2029,75,06-08-2026 09:00
MED0091,LOC0006,WH-AP-006,B00910346,584,19-02-2028,30,06-08-2026 09:00
MED0011,LOC0006,WH-AP-006,B00110487,428,27-05-2027,75,06-08-2026 09:00
MED0040,LOC0006,WH-AP-006,B00400580,53,19-11-2027,30,06-08-2026 09:00
MED0072,LOC0006,WH-AP-006,B00720620,528,22-08-2027,20,06-08-2026 09:00
MED0049,LOC0006,WH-AP-006,B00490721,525,03-09-2026,30,06-08-2026 09:00
MED0083,LOC0006,WH-AP-006,B00830816,357,02-01-2028,30,06-08-2026 09:00
MED0102,LOC0006,WH-AP-006,B01020957,241,26-01-2027,75,06-08-2026 09:00
MED0043,LOC0006,WH-AP-006,B00431093,0,04-11-2028,30,06-08-2026 09:00
MED0114,LOC0006,WH-AP-006,B01141199,140,07-04-2026,50,06-08-2026 09:00
MED0086,LOC0006,WH-AP-006,B00861220,480,09-11-2026,30,06-08-2026 09:00
MED0090,LOC0006,WH-AP-006,B00901387,153,17-11-2028,20,06-08-2026 09:00
MED0095,LOC0006,WH-AP-006,B00951425,794,08-09-2027,100,06-08-2026 09:00
MED0088,LOC0006,WH-AP-006,B00881518,654,15-02-2028,20,06-08-2026 09:00
MED0068,LOC0006,WH-AP-006,B00681690,511,20-11-2026,20,06-08-2026 09:00
MED0012,LOC0006,WH-AP-006,B00121710,735,03-09-2026,100,06-08-2026 09:00
MED0107,LOC0006,WH-AP-006,B01071895,584,14-09-2028,100,06-08-2026 09:00
MED0103,LOC0006,WH-AP-006,B01031979,369,09-09-2026,20,06-08-2026 09:00
MED0055,LOC0006,WH-AP-006,B00552070,519,08-12-2027,100,06-08-2026 09:00
MED0066,LOC0006,WH-AP-006,B00662155,382,20-11-2026,20,06-08-2026 09:00
MED0047,LOC0006,WH-AP-006,B00472284,750,18-02-2027,20,06-08-2026 09:00
MED0003,LOC0006,WH-AP-006,B00032332,3443,23-08-2028,50,06-08-2026 09:00
MED0093,LOC0006,WH-AP-006,B00932418,490,22-03-2027,75,06-08-2026 09:00
MED0110,LOC0006,WH-AP-006,B01102535,0,22-01-2029,75,06-08-2026 09:00
MED0024,LOC0006,WH-AP-006,B00242670,317,13-05-2028,20,06-08-2026 09:00
MED0028,LOC0006,WH-AP-006,B00282755,0,23-08-2027,50,06-08-2026 09:00
MED0044,LOC0006,WH-AP-006,B00442865,339,15-11-2027,20,06-08-2026 09:00
MED0063,LOC0006,WH-AP-006,B00632973,395,14-05-2027,75,06-08-2026 09:00
MED0025,LOC0006,WH-AP-006,B00253064,531,27-01-2027,75,06-08-2026 09:00
MED0029,LOC0006,WH-AP-006,B00293123,184,28-09-2027,20,06-08-2026 09:00
MED0018,LOC0006,WH-AP-006,B00183264,302,13-07-2028,20,06-08-2026 09:00
MED0020,LOC0006,WH-AP-006,B00203355,359,17-11-2028,30,06-08-2026 09:00
MED0010,LOC0006,WH-AP-006,B00103417,281,22-01-2029,100,06-08-2026 09:00
MED0038,LOC0006,WH-AP-006,B00383596,415,10-12-2028,20,06-08-2026 09:00
MED0013,LOC0006,WH-AP-006,B00133666,146,28-09-2028,30,06-08-2026 09:00
MED0065,LOC0006,WH-AP-006,B00653756,2966,14-11-2027,20,06-08-2026 09:00
MED0070,LOC0006,WH-AP-006,B00703867,33,29-09-2028,75,06-08-2026 09:00
MED0099,LOC0006,WH-AP-006,B00993977,781,15-08-2026,50,06-08-2026 09:00
MED0005,LOC0006,WH-AP-006,B00054013,665,28-02-2027,50,06-08-2026 09:00
MED0087,LOC0006,WH-AP-006,B00874143,396,04-03-2027,30,06-08-2026 09:00
MED0104,LOC0006,WH-AP-006,B01044298,219,23-08-2027,50,06-08-2026 09:00
MED0108,LOC0006,WH-AP-006,B01084332,138,09-02-2028,75,06-08-2026 09:00
MED0082,LOC0006,WH-AP-006,B00824495,698,27-09-2027,75,06-08-2026 09:00
MED0021,LOC0006,WH-AP-006,B00214530,563,07-09-2027,50,06-08-2026 09:00
MED0089,LOC0006,WH-AP-006,B00894627,520,28-05-2027,30,06-08-2026 09:00
MED0022,LOC0006,WH-AP-006,B00224757,26,12-06-2028,30,06-08-2026 09:00
MED0057,LOC0006,WH-AP-006,B00574821,564,02-10-2026,75,06-08-2026 09:00
MED0006,LOC0006,WH-AP-006,B00064962,734,25-04-2028,20,06-08-2026 09:00
MED0053,LOC0006,WH-AP-006,B00535092,75,27-08-2026,75,06-08-2026 09:00
MED0058,LOC0007,WH-AP-007,B00580148,564,05-08-2028,50,06-08-2026 09:00
MED0060,LOC0007,WH-AP-007,B00600284,514,02-07-2028,100,06-08-2026 09:00
MED0088,LOC0007,WH-AP-007,B00880353,639,15-07-2028,30,06-08-2026 09:00
MED0067,LOC0007,WH-AP-007,B00670415,0,26-01-2027,100,06-08-2026 09:00
MED0045,LOC0007,WH-AP-007,B00450589,215,04-01-2028,100,06-08-2026 09:00
MED0017,LOC0007,WH-AP-007,B00170648,642,22-08-2028,20,06-08-2026 09:00
MED0107,LOC0007,WH-AP-007,B01070719,701,11-02-2028,75,06-08-2026 09:00
MED0100,LOC0007,WH-AP-007,B01000853,425,31-05-2027,20,06-08-2026 09:00
MED0071,LOC0007,WH-AP-007,B00710961,735,23-10-2027,100,06-08-2026 09:00
MED0082,LOC0007,WH-AP-007,B00821040,527,26-09-2027,30,06-08-2026 09:00
MED0076,LOC0007,WH-AP-007,B00761116,3841,11-02-2027,75,06-08-2026 09:00
MED0024,LOC0007,WH-AP-007,B00241251,630,16-04-2027,50,06-08-2026 09:00
MED0099,LOC0007,WH-AP-007,B00991375,194,28-03-2028,100,06-08-2026 09:00
MED0109,LOC0007,WH-AP-007,B01091460,315,04-02-2027,75,06-08-2026 09:00
MED0056,LOC0007,WH-AP-007,B00561516,246,31-10-2027,100,06-08-2026 09:00
MED0065,LOC0007,WH-AP-007,B00651696,611,03-09-2028,20,06-08-2026 09:00
