location_code,city,village,district,state,warehouse,aliases
LOC0172,Firozpur,,Firozpur,Punjab,WH-P-008,Ferozepur
LOC0173,Moga,,Moga,Punjab,WH-P-009,
LOC0174,Jaipur,,Jaipur,Rajasthan,WH-R-001,
LOC0175,Jodhpur,,Jodhpur,Rajasthan,WH-R-002,
LOC0176,Udaipur,,Udaipur,Rajasthan,WH-R-003,
LOC0177,Kota,,Kota,Rajasthan,WH-R-004,
LOC0178,Ajmer,,Ajmer,Rajasthan,WH-R-005,
LOC0179,Bikaner,,Bikaner,Rajasthan,WH-R-006,
LOC0180,Alwar,,Alwar,Rajasthan,WH-R-007,
LOC0181,Bharatpur,,Bharatpur,Rajasthan,WH-R-008,
LOC0182,Sikar,,Sikar,Rajasthan,WH-R-009,
LOC0183,Bhilwara,,Bhilwara,Rajasthan,WH-R-010,
LOC0184,Pali,,Pali,Rajasthan,WH-R-011,
LOC0185,Sri Ganganagar,,Sri Ganganagar,Rajasthan,WH-R-012,Ganganagar
LOC0186,Gangtok,,East Sikkim,Sikkim,WH-S-001,
LOC0187,Namchi,,South Sikkim,Sikkim,WH-S-002,
LOC0188,Chennai,,Chennai,Tamil Nadu,WH-TN-001,Madras
LOC0189,Coimbatore,,Coimbatore,Tamil Nadu,WH-TN-002,Kovai
LOC0190,Madurai,,Madurai,Tamil Nadu,WH-TN-003,
LOC0191,Tiruchirappalli,,Tiruchirappalli,Tamil Nadu,WH-TN-004,Trichy
LOC0192,Salem,,Salem,Tamil Nadu,WH-TN-005,
LOC0193,Tirunelveli,,Tirunelveli,Tamil Nadu,WH-TN-006,
LOC0194,Erode,,Erode,Tamil Nadu,WH-TN-007,
LOC0195,Vellore,,Vellore,Tamil Nadu,WH-TN-008,
LOC0196,Thoothukudi,,Thoothukudi,Tamil Nadu,WH-TN-009,Tuticorin
LOC0197,Dindigul,,Dindigul,Tamil Nadu,WH-TN-010,
LOC0198,Thanjavur,,Thanjavur,Tamil Nadu,WH-TN-011,Tanjore
LOC0199,Tiruppur,,Tiruppur,Tamil Nadu,WH-TN-012,
LOC0200,Hyderabad,,Hyderabad,Telangana,WH-T-001,
LOC0201,Warangal,,Warangal,Telangana,WH-T-002,
LOC0202,Nizamabad,,Nizamabad,Telangana,WH-T-003,
LOC0203,Karimnagar,,Karimnagar,Telangana,WH-T-004,
LOC0204,Khammam,,Khammam,Telangana,WH-T-005,
LOC0205,Mahbubnagar,,Mahabubnagar,Telangana,WH-T-006,
LOC0206,Nalgonda,,Nalgonda,Telangana,WH-T-007,
LOC0207,Secunderabad,,Hyderabad,Telangana,WH-T-008,
LOC0208,Agartala,,West Tripura,Tripura,WH-T-009,
LOC0209,Udaipur-TR,,Gomati,Tripura,WH-T-010,Udaipur Tripura
LOC0210,Lucknow,,Lucknow,Uttar Pradesh,WH-UP-001,
LOC0211,Kanpur,,Kanpur Nagar,Uttar Pradesh,WH-UP-002,
LOC0212,Ghaziabad,,Ghaziabad,Uttar Pradesh,WH-UP-003,
LOC0213,Agra,,Agra,Uttar Pradesh,WH-UP-004,
LOC0214,Varanasi,,Varanasi,Uttar Pradesh,WH-UP-005,Banaras|Benares
LOC0215,Meerut,,Meerut,Uttar Pradesh,WH-UP-006,
LOC0216,Prayagraj,,Prayagraj,Uttar Pradesh,WH-UP-007,Allahabad
LOC0217,Bareilly,,Bareilly,Uttar Pradesh,WH-UP-008,
LOC0218,Aligarh,,Aligarh,Uttar Pradesh,WH-UP-009,
LOC0219,Moradabad,,Moradabad,Uttar Pradesh,WH-UP-010,
LOC0220,Saharanpur,,Saharanpur,Uttar Pradesh,WH-UP-011,
LOC0221,Gorakhpur,,Gorakhpur,Uttar Pradesh,WH-UP-012,
LOC0222,Noida,,Gautam Buddha Nagar,Uttar Pradesh,WH-UP-013,
LOC0223,Firozabad,,Firozabad,Uttar Pradesh,WH-UP-014,
LOC0224,Jhansi,,Jhansi,Uttar Pradesh,WH-UP-015,
LOC0225,Muzaffarnagar,,Muzaffarnagar,Uttar Pradesh,WH-UP-016,
LOC0226,Mathura,,Mathura,Uttar Pradesh,WH-UP-017,
LOC0227,Rampur,,Rampur,Uttar Pradesh,WH-UP-018,
LOC0228,Shahjahanpur,,Shahjahanpur,Uttar Pradesh,WH-UP-019,
LOC0229,Faizabad,,Ayodhya,Uttar Pradesh,WH-UP-020,Ayodhya
LOC0230,Dehradun,,Dehradun,Uttarakhand,WH-U-001,
LOC0231,Haridwar,,Haridwar,Uttarakhand,WH-U-002,
LOC0232,Nainital,,Nainital,Uttarakhand,WH-U-003,
LOC0233,Roorkee,,Haridwar,Uttarakhand,WH-U-004,
LOC0234,Haldwani,,Nainital,Uttarakhand,WH-U-005,
LOC0235,Rudrapur,,Udham Singh Nagar,Uttarakhand,WH-U-006,
LOC0236,Kolkata,,Kolkata,West Bengal,WH-WB-001,Calcutta
LOC0237,Howrah,,Howrah,West Bengal,WH-WB-002,Haora
LOC0238,Durgapur,,Paschim Bardhaman,West Bengal,WH-WB-003,
LOC0239,Asansol,,Paschim Bardhaman,West Bengal,WH-WB-004,
LOC0240,Siliguri,,Darjeeling,West Bengal,WH-WB-005,
LOC0241,Malda,,Malda,West Bengal,WH-WB-006,English Bazar
LOC0242,Kharagpur,,Paschim Medinipur,West Bengal,WH-WB-007,
LOC0243,Bardhaman,,Purba Bardhaman,West Bengal,WH-WB-008,Burdwan
LOC0244,Darjeeling,,Darjeeling,West Bengal,WH-WB-009,
LOC0245,Cooch Behar,,Cooch Behar,West Bengal,WH-WB-010,Koch Bihar
LOC0246,Port Blair,,South Andaman,Andaman and Nicobar Islands,WH-AAN-001,
LOC0247,Chandigarh,,Chandigarh,Chandigarh,WH-C-009,
LOC0248,Silvassa,,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,WH-DAN-001,
LOC0249,Daman,,Daman,Dadra and Nagar Haveli and Daman and Diu,WH-DAN-002,
LOC0250,Diu,,Diu,Dadra and Nagar Haveli and Daman and Diu,WH-DAN-003,
LOC0251,New Delhi,,New Delhi,Delhi,WH-D-001,
LOC0252,Dwarka,,South West Delhi,Delhi,WH-D-002,
LOC0253,Rohini,,North West Delhi,Delhi,WH-D-003,
LOC0254,Karol Bagh,,Central Delhi,Delhi,WH-D-004,
LOC0255,Saket,,South Delhi,Delhi,WH-D-005,
LOC0256,Srinagar,,Srinagar,Jammu and Kashmir,WH-JAK-001,
LOC0257,Jammu,,Jammu,Jammu and Kashmir,WH-JAK-002,
LOC0258,Anantnag,,Anantnag,Jammu and Kashmir,WH-JAK-003,
LOC0259,Baramulla,,Baramulla,Jammu and Kashmir,WH-JAK-004,
LOC0260,Leh,,Leh,Ladakh,WH-L-001,
LOC0261,Kargil,,Kargil,Ladakh,WH-L-002,
LOC0262,Kavaratti,,Lakshadweep,Lakshadweep,WH-L-003,
LOC0263,Puducherry,,Puducherry,Puducherry,WH-P-010,Pondicherry
LOC0264,Karaikal,,Karaikal,Puducherry,WH-P-011,
LOC0265,,Shani Shingnapur,Ahmednagar,Maharashtra,WH-M-024,
LOC0266,,Hivre Bazar,Ahmednagar,Maharashtra,WH-M-025,
LOC0267,,Khonoma,Kohima,Nagaland,WH-N-003,
LOC0268,,Mawlynnong,East Khasi Hills,Meghalaya,WH-M-026,
LOC0269,,Punsari,Sabarkantha,Gujarat,WH-G-020,
LOC0270,,Ralegan Siddhi,Ahmednagar,Maharashtra,WH-M-027,
LOC0271,,Piplantri,Rajsamand,Rajasthan,WH-R-013,
LOC0272,,Khimsar,Nagaur,Rajasthan,WH-R-014,
LOC0273,,Kumbalangi,Ernakulam,Kerala,WH-K-025,
LOC0274,,Nako,Kinnaur,Himachal Pradesh,WH-HP-009,
