snapshot_date,tenant_id,warehouse_id,sku_id,batch_number,manufacture_date,expiry_date,available_quantity,reserved_quantity,blocked_quantity,unit_cost,currency,storage_condition_code,last_movement_at
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-003,B9893,2026-01-27,2027-09-07,2810,16,0,54.87,INR,AMBIENT,2026-07-11T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-BENGALURU,SKU-PHA-003,B8816,2026-01-27,2027-02-18,2181,29,0,54.87,INR,AMBIENT,2026-07-15T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-BENGALURU,SKU-PHA-003,B2766,2026-01-27,2027-03-20,1870,75,0,54.87,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-003,B4712,2026-01-27,2027-06-11,1024,17,0,54.87,INR,AMBIENT,2026-07-08T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-003,B5816,2026-01-27,2027-02-26,1389,19,0,54.87,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-CHENNAI,SKU-PHA-004,B2380,2026-01-27,2028-02-11,2818,38,0,46.2,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-BENGALURU,SKU-PHA-004,B3406,2026-01-27,2027-08-12,1252,25,0,46.2,INR,AMBIENT,2026-07-21T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-004,B6102,2026-01-27,2027-11-22,1575,84,0,46.2,INR,AMBIENT,2026-07-15T00:00:00Z
2026-07-26,TEN-ACME-PHARMA,WH-HYDERABAD,SKU-PHA-004,B4154,2026-01-27,2028-02-09,1976,21,0,46.2,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-005,B8978,2026-01-27,2026-09-27,579,40,0,621.42,INR,AMBIENT,2026-07-10T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-005,B1875,2026-01-27,2028-02-11,173,44,0,621.42,INR,AMBIENT,2026-07-15T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-005,B5376,2026-01-27,2027-03-31,838,64,0,621.42,INR,AMBIENT,2026-07-25T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-005,B7220,2026-01-27,2027-05-05,1206,55,0,621.42,INR,AMBIENT,2026-07-17T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-005,B2589,2026-01-27,2027-12-10,342,42,0,621.42,INR,AMBIENT,2026-07-16T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-006,B9141,2026-01-27,2027-09-21,2823,7,0,232.34,INR,AMBIENT,2026-07-23T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-006,B4580,2026-01-27,2027-09-24,773,19,0,232.34,INR,AMBIENT,2026-07-13T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-007,B2126,2026-01-27,2026-09-20,2115,59,0,13.65,INR,AMBIENT,2026-07-21T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-007,B6071,2026-01-27,2027-10-06,2932,38,0,13.65,INR,AMBIENT,2026-07-15T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-007,B1018,2026-01-27,2027-03-09,2511,20,0,13.65,INR,AMBIENT,2026-07-23T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-007,B9336,2026-01-27,2026-10-27,2258,56,0,13.65,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-008,B9344,2026-01-27,2027-07-22,317,24,0,496.52,INR,AMBIENT,2026-07-07T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-DELHI,SKU-SUP-008,B2658,2026-01-27,2027-03-06,1632,42,0,496.52,INR,AMBIENT,2026-07-11T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-008,B3706,2026-01-27,2026-11-05,842,95,0,496.52,INR,AMBIENT,2026-07-07T00:00:00Z
2026-07-26,TEN-FRESH-MART,WH-MUMBAI,SKU-SUP-008,B2985,2026-01-27,2026-10-18,2176,37,0,496.52,INR,AMBIENT,2026-07-26T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-009,B8496,,,793,5,0,75.03,INR,AMBIENT,2026-07-20T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-010,B1374,,,177,30,0,18.74,INR,AMBIENT,2026-07-07T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-010,B9761,,,2714,99,0,18.74,INR,AMBIENT,2026-07-10T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-010,B3291,,,1474,87,0,18.74,INR,AMBIENT,2026-07-11T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-011,B4010,,,2185,65,0,121.48,INR,AMBIENT,2026-07-24T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-011,B8451,,,2910,27,0,121.48,INR,AMBIENT,2026-07-18T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-011,B8587,,,2079,49,0,121.48,INR,AMBIENT,2026-07-23T00:00:00Z
2026-07-26,TEN-URBAN-TRADE,WH-PUNE,SKU-MER-012,B3209,,,1864,63,0,106.25,INR,AMBIENT,2026-07-12T00:00:00Z
